Rank,date,primaryTitle,budget,domestic_gross,world_gross
"4,747","Aug 12, 2005",11:14,"$6,000,000",$0,$0
650,"Aug 12, 2010",Scott Pilgrim vs. The World,"$85,000,000.00","$32,951,310.00","$49,245,842.00"
"1,672","Aug 12, 2011",Final Destination 5,"$40,000,000","$42,587,643","$155,011,165"
"2,349","Aug 12, 2011",30 Minutes or Less,"$28,000,000","$37,053,924","$41,146,935"
"4,281","Aug 12, 2011",Glee: The 3D Concert Movie,"$9,000,000","$11,862,398","$17,462,398"
"4,453","Aug 12, 2014",Swelter,"$8,000,000",$0,"$44,197"
"6,037","Aug 12, 2014",Jesse,"$950,000",$0,$0
801,"Aug 12, 2015",The Man From U.N.C.L.E.,"$75,000,000.00","$45,445,109.00","$108,517,735.00"
"6,146","Aug 12, 2015",Theeb,"$535,000","$283,024","$1,040,135"
"3,800","Aug 12, 2016",Hell or High Water,"$12,000,000","$27,007,844","$37,566,117"
"3,438","Aug 12, 2021",Don’t Breathe 2,"$15,000,000","$32,638,038","$47,201,347"
"6,055","Aug 13, 1942",Bambi,"$858,000","$102,797,000","$268,000,000"
"5,459","Aug 13, 1967",Bonnie and Clyde,"$2,500,000","$50,700,000","$50,700,128"
"5,339","Aug 13, 1981",Gallipoli,"$3,000,000","$5,732,587","$5,732,587"
"5,024","Aug 13, 1982",Fast Times at Ridgemont High,"$4,500,000","$27,092,880","$27,093,116"
"5,528","Aug 13, 1982",Friday the 13th Part 3,"$2,250,000","$36,690,067","$36,690,067"
"5,313","Aug 13, 1993",Jason Goes to Hell: The Final Friday,"$3,000,000","$15,935,068","$15,935,068"
"5,206","Aug 13, 1997",The Full Monty,"$3,500,000","$45,950,122","$261,249,383"
"1,190","Aug 13, 1999",Bowfinger,"$55,000,000","$66,458,769","$98,699,769"
"2,593","Aug 13, 1999",Brokedown Palace,"$25,000,000","$10,115,014","$11,115,766"
"3,344","Aug 13, 1999",Detroit Rock City,"$16,000,000","$4,217,115","$5,825,314"
"1,427","Aug 13, 2001",K-PAX,"$48,000,000","$50,315,140","$64,978,140"
865,"Aug 13, 2004",AVP: Alien Vs. Predator,"$70,000,000.00","$80,281,096.00","$172,543,519.00"
"2,934","Aug 13, 2004",Yu-Gi-Oh,"$20,000,000","$19,762,690","$28,715,003"
569,"Aug 13, 2008",Tropic Thunder,"$90,000,000.00","$110,515,313.00","$191,145,256.00"
662,"Aug 13, 2010",The Expendables,"$82,000,000.00","$103,068,524.00","$268,268,174.00"
"1,039","Aug 13, 2010",Eat Pray Love,"$60,000,000","$80,574,010","$206,598,789"
"5,071","Aug 13, 2010",Animal Kingdom,"$4,200,000","$1,044,039","$8,078,683"
"3,234","Aug 13, 2014",Let’s Be Cops,"$17,000,000","$82,390,774","$136,890,774"
"3,725","Aug 13, 2015",Brothers,"$13,000,000","$656,688","$17,856,688"
"4,379","Aug 13, 2015",A Walk in the Woods,"$8,000,000","$29,499,394","$37,119,358"
"4,793","Aug 13, 2015",El Clan,"$5,500,000","$201,227","$22,125,102"
"6,489","Aug 13, 2019",The VelociPastor,"$35,000",$0,$0
"4,209","Aug 13, 2021",CODA,"$10,000,000",$0,"$2,237,618"
"1,107","Aug 14, 1998",The Avengers,"$60,000,000","$23,385,416","$48,585,416"
"2,881","Aug 14, 1998",How Stella Got Her Groove Back,"$20,000,000","$37,672,944","$37,672,944"
"4,176","Aug 14, 1998",La femme de chambre du Titanic,"$10,000,000","$244,465","$244,465"
"4,907","Aug 14, 1998",Slums of Beverly Hills,"$5,000,000","$5,502,773","$5,502,773"
"6,530","Aug 14, 2008",The Rise and Fall of Miss Thang,"$10,000",$401,$401
"1,785","Aug 14, 2009",The Time Traveler’s Wife,"$39,000,000","$63,414,846","$102,332,135"
"2,018","Aug 14, 2009",Ponyo (崖の上のポニョ),"$34,000,000","$15,090,399","$205,162,666"
"2,108","Aug 14, 2009",District 9,"$30,000,000","$115,646,235","$212,453,431"
"3,015","Aug 14, 2009",Bandslam,"$20,000,000","$5,210,988","$12,967,829"
"4,075","Aug 14, 2009","The Goods: Live Hard, Sell Hard","$10,000,000","$15,122,676","$15,297,318"
"4,965","Aug 14, 2009",Grace,"$5,000,000","$8,297","$8,297"
497,"Aug 14, 2014",The Expendables 3,"$100,000,000.00","$39,322,544.00","$209,461,378.00"
"2,321","Aug 14, 2015",Straight Outta Compton,"$28,000,000","$161,197,785","$202,182,981"
"5,411","Aug 14, 2015",Amnesiac,"$3,000,000",$0,$0
"5,687","Aug 14, 2015",Vaalu,"$1,900,000",$0,"$12,444"
"6,002","Aug 14, 2015",Karachi se Lahore,"$1,000,000",$0,"$17,721"
"6,228","Aug 14, 2017",Twenty-Two,"$425,000","$22,222","$25,733,825"
"2,832","Aug 14, 2019",Good Boys,"$20,000,000","$83,140,306","$111,174,248"
612,"Aug 14, 2020",Project Power,"$85,100,000.00",$0.00,$0.00
688,"Aug 14, 2024",Alien: Romulus,"$80,000,000.00","$105,313,091.00","$350,768,919.00"
"5,551","Aug 15, 1946",Notorious,"$2,000,000","$24,464,742","$24,495,380"
"2,080","Aug 15, 1979",Apocalypse Now,"$31,500,000","$83,535,860","$85,958,336"
"4,778","Aug 15, 1996",Shine,"$5,500,000","$35,811,509","$36,675,932"
"1,104","Aug 15, 1997",Event Horizon,"$60,000,000","$26,673,242","$26,673,954"
"3,350","Aug 15, 1997",Steel,"$16,000,000","$1,686,429","$1,686,429"
"3,415","Aug 15, 1997",Cop Land,"$15,000,000","$44,906,632","$63,706,632"
"2,421","Aug 15, 2003",Open Range,"$26,000,000","$58,331,254","$68,613,992"
"2,472","Aug 15, 2003",Freddy vs. Jason,"$25,000,000","$82,622,655","$114,576,403"
"5,572","Aug 15, 2003",American Splendor,"$2,000,000","$6,003,587","$8,685,632"
"1,939","Aug 15, 2008",Mirrors,"$35,000,000","$30,691,439","$77,220,596"
"2,574","Aug 15, 2008",Fly Me To the Moon,"$25,000,000","$14,543,943","$43,530,281"
"3,321","Aug 15, 2008",Vicky Cristina Barcelona,"$16,000,000","$23,216,709","$104,504,817"
"4,333","Aug 15, 2008",Star Wars: The Clone Wars,"$8,500,000","$35,161,554","$68,695,443"
480,"Aug 15, 2012",The Expendables 2,"$100,000,000.00","$85,028,192.00","$311,979,256.00"
"1,659","Aug 15, 2012",The Odd Life of Timothy Green,"$40,000,000","$51,853,450","$55,249,159"
"2,503","Aug 15, 2014",The Giver,"$25,000,000","$45,090,374","$66,540,205"
"5,387","Aug 15, 2014",Fort McCoy,"$3,000,000","$78,948","$78,948"
"5,510","Aug 15, 2014",Life After Beth,"$2,400,000","$80,315","$334,491"
"6,323","Aug 15, 2014",Nightlights,"$250,000","$21,147","$21,147"
"1,262","Aug 15, 2018",Alpha,"$51,000,000","$35,851,379","$99,624,873"
"2,098","Aug 15, 2018",Crazy Rich Asians,"$30,000,000","$174,532,921","$237,814,149"
"3,809","Aug 15, 2019",47 Meters Down: Uncaged,"$12,000,000","$22,260,900","$47,582,563"
"5,095","Aug 16, 1985",The Return of the Living Dead,"$4,000,000","$14,237,880","$14,238,828"
"4,670","Aug 16, 1995",The Usual Suspects,"$6,000,000","$23,341,568","$34,449,356"
"1,220","Aug 16, 1996",The Fan,"$55,000,000","$18,582,965","$18,582,965"
"1,488","Aug 16, 1996",Tin Cup,"$45,000,000","$53,854,588","$75,854,588"
"3,107","Aug 16, 1996",Kansas City,"$19,000,000","$1,353,824","$1,353,824"
513,"Aug 16, 2002",The Adventures of Pluto Nash,"$100,000,000.00","$4,411,102.00","$7,094,995.00"
"2,178","Aug 16, 2002",Blue Crush,"$30,000,000","$40,118,420","$51,618,420"
"2,594","Aug 16, 2002",Possession,"$25,000,000","$10,103,647","$14,805,812"
"1,752","Aug 16, 2013",Paranoia,"$40,000,000","$7,388,654","$16,340,767"
"2,106","Aug 16, 2013",Lee Daniels' The Butler,"$30,000,000","$116,632,095","$177,025,498"
"2,354","Aug 16, 2013",Kick-Ass 2,"$28,000,000","$28,795,985","$63,129,909"
"3,170","Aug 16, 2013",Jobs,"$18,000,000","$16,131,410","$43,402,515"
"4,946","Aug 16, 2013",Ain't Them Bodies Saints,"$5,000,000","$391,611","$1,075,009"
"5,492","Aug 16, 2013",Underdogs,"$2,500,000","$35,017","$1,392,649"
"3,575","Aug 16, 2017",Sha Po Lang: Tan Lang,"$14,500,000",$0,"$79,226,860"
"4,114","Aug 16, 2018",A.X.L.,"$10,000,000","$6,501,381","$8,259,753"
"2,993","Aug 16, 2019",Where’d You Go Bernadette,"$20,000,000","$9,198,356","$10,844,598"
"4,800","Aug 16, 2019",Portrait de la jeune fille en feu,"$5,400,000","$3,759,854","$11,917,143"
375,"Aug 16, 2023",Blue Beetle,"$120,000,000.00","$72,541,501.00","$128,777,017.00"
"5,089","Aug 17, 1979",Life of Brian,"$4,000,000","$20,182,359","$20,548,649"
"2,603","Aug 17, 1984",Sheena,"$25,000,000","$5,778,353","$5,778,353"
"1,155","Aug 17, 2001",Captain Corelli's Mandolin,"$57,000,000","$25,528,495","$62,097,495"
"1,425","Aug 17, 2001",Rat Race,"$48,000,000","$56,607,223","$86,607,223"
"1,975","Aug 17, 2001",American Outlaws,"$35,000,000","$13,264,986","$13,601,109"
"4,635","Aug 17, 2001",Aberdeen,"$6,500,000","$64,148","$64,148"
"2,274","Aug 17, 2005",Supercross,"$30,000,000","$3,102,550","$3,252,550"
742,"Aug 17, 2007",The Invasion,"$80,000,000.00","$15,074,191.00","$40,147,042.00"
929,"Aug 17, 2007",The Last Legion,"$67,000,000","$5,932,060","$25,357,771"
"2,997","Aug 17, 2007",Death at a Funeral,"$20,000,000","$8,580,428","$47,289,148"
"3,220","Aug 17, 2007",Superbad,"$17,500,000","$121,463,226","$169,955,142"
"4,045","Aug 17, 2012",Sparkle,"$10,000,000","$24,397,469","$24,660,323"
"4,998","Aug 17, 2012",The Awakening,"$4,900,000","$95,933","$6,924,321"
"5,474","Aug 17, 2012",Robot & Frank,"$2,500,000","$3,317,468","$4,934,356"
"6,301","Aug 17, 2012",Compliance,"$270,000","$319,285","$830,700"
967,"Aug 17, 2015",Everest,"$65,000,000","$43,482,270","$221,297,061"
"1,927","Aug 17, 2018",Mile 22,"$35,000,000","$36,108,758","$66,295,121"
"4,712","Aug 17, 2018","Juliet, Naked","$6,000,000","$3,444,895","$5,767,158"
"4,943","Aug 18, 1989",Eddie and the Cruisers II,"$5,000,000","$540,000","$540,000"
"2,841","Aug 18, 1995",Mortal Kombat,"$20,000,000","$70,433,227","$122,133,227"
"1,899","Aug 18, 2000",The Cell,"$35,000,000","$61,280,963","$104,102,747"
"5,295","Aug 18, 2000",The Original Kings of Comedy,"$3,000,000","$38,168,022","$38,236,338"
"5,918","Aug 18, 2000",Godzilla 2000,"$1,000,000","$10,037,390","$10,037,390"
"2,031","Aug 18, 2006",Snakes on a Plane,"$33,000,000","$34,020,814","$62,020,814"
"3,291","Aug 18, 2006",The Illusionist,"$16,500,000","$39,868,642","$83,792,062"
"4,299","Aug 18, 2006",Trust the Man,"$9,000,000","$1,530,535","$2,548,378"
"4,442","Aug 18, 2006",10th & Wolf,"$8,000,000","$54,702","$143,782"
"2,885","Aug 18, 2010",Vampires Suck,"$20,000,000","$36,661,504","$81,424,988"
"4,984","Aug 18, 2014",Henry & Me,"$5,000,000",$0,$0
"6,339","Aug 18, 2015",The Love Letter,"$250,000",$0,$0
"1,203","Aug 18, 2016",Kubo and the Two Strings,"$55,000,000","$48,023,088","$77,548,122"
"2,125","Aug 18, 2017",The Hitman’s Bodyguard,"$30,000,000","$75,468,583","$183,415,183"
"2,288","Aug 18, 2017",Happy Family,"$30,000,000",$0,"$30,809,023"
"2,305","Aug 18, 2017",Logan Lucky,"$29,000,000","$27,778,642","$49,046,121"
"5,950","Aug 18, 2017",Patti Cake$,"$1,000,000","$800,148","$1,471,090"
922,"Aug 18, 2021",Reminiscence,"$67,972,729","$3,900,193","$15,449,322"
"5,816","Aug 19, 1983",The Ballad of Gregorio Cortez,"$1,305,000","$909,000","$909,000"
"3,671","Aug 19, 1988",A Nightmare on Elm Street 4: The Dream Master,"$13,000,000","$49,369,899","$49,369,899"
"1,962","Aug 19, 2005",Valiant,"$35,000,000","$19,478,106","$64,188,387"
"2,414","Aug 19, 2005",The 40 Year-old Virgin,"$26,000,000","$109,449,237","$176,276,839"
"2,422","Aug 19, 2005",Red Eye,"$26,000,000","$57,891,803","$96,666,486"
597,"Aug 19, 2011",Conan the Barbarian,"$90,000,000.00","$21,295,021.00","$63,356,133.00"
"2,228","Aug 19, 2011",Fright Night,"$30,000,000","$18,298,649","$40,520,649"
"2,391","Aug 19, 2011",Spy Kids: All the Time in the World,"$27,000,000","$38,536,376","$80,681,183"
"3,880","Aug 19, 2011",5 Days of War,"$12,000,000","$17,479","$87,793"
"5,421","Aug 19, 2011",Griff the Invisible,"$2,900,000","$20,778","$25,935"
"5,776","Aug 19, 2011",Amigo,"$1,500,000","$184,705","$184,705"
"1,957","Aug 19, 2015",Hitman: Agent 47,"$35,000,000","$22,467,450","$82,182,803"
"2,362","Aug 19, 2015",American Ultra,"$28,000,000","$14,439,985","$30,295,028"
"4,040","Aug 19, 2015",Sinister 2,"$10,000,000","$27,740,955","$54,104,225"
"1,335","Aug 19, 2016",War Dogs,"$50,000,000","$43,034,523","$86,234,503"
"5,843","Aug 19, 2016",Bodom,"$1,250,000",$0,"$726,460"
"5,552","Aug 2, 1967",In the Heat of the Night,"$2,000,000","$24,379,978","$24,407,647"
"6,082","Aug 2, 1973",American Graffiti,"$777,000","$115,557,835","$140,557,835"
"1,219","Aug 2, 1996",Chain Reaction,"$55,000,000","$21,226,204","$60,209,334"
"4,755","Aug 2, 1996",Emma,"$5,900,000","$22,231,658","$37,831,658"
843,"Aug 2, 2002",Signs,"$70,702,619.00","$227,969,295.00","$408,250,578.00"
"3,308","Aug 2, 2002",The Master of Disguise,"$16,000,000","$40,363,530","$40,363,530"
"5,306","Aug 2, 2002",Martin Lawrence Live: RunTelDat,"$3,000,000","$19,184,820","$19,184,820"
"5,588","Aug 2, 2002",Full Frontal,"$2,000,000","$2,512,846","$3,438,804"
"6,234","Aug 2, 2006",Quinceanera,"$400,000","$1,692,693","$2,797,199"
"1,009","Aug 2, 2013",2 Guns,"$61,000,000","$75,612,460","$132,493,015"
"5,470","Aug 2, 2013",The Spectacular Now,"$2,500,000","$6,852,971","$6,916,951"
"6,319","Aug 2, 2013",The Canyons,"$250,000","$59,671","$62,375"
148,"Aug 2, 2016",Suicide Squad,"$175,000,000.00","$325,100,054.00","$745,744,980.00"
932,"Aug 2, 2017",The Dark Tower,"$66,000,000","$50,701,325","$113,461,527"
"3,389","Aug 2, 2017",Annabelle: Creation,"$15,000,000","$102,092,201","$305,384,865"
969,"Aug 2, 2019",The Angry Birds Movie 2,"$65,000,000","$41,657,076","$152,255,188"
855,"Aug 2, 2023",Teenage Mutant Ninja Turtles: Mutant Mayhem,"$70,000,000.00","$118,700,272.00","$180,329,865.00"
"4,888","Aug 20, 1982",The Beastmaster,"$5,000,000","$10,751,126","$10,751,126"
"5,275","Aug 20, 1982",Class of 1984,"$3,250,000","$6,965,361","$6,965,361"
"1,688","Aug 20, 1999",Mickey Blue Eyes,"$40,000,000","$33,864,342","$53,864,342"
"1,749","Aug 20, 1999",Universal Soldier II: The Return,"$40,000,000","$10,447,421","$10,717,421"
"5,578","Aug 20, 2003",Thirteen,"$2,000,000","$4,601,043","$9,505,996"
755,"Aug 20, 2004",Exorcist: The Beginning,"$78,000,000.00","$41,814,863.00","$43,957,541.00"
"2,144","Aug 20, 2004",Without a Paddle,"$30,000,000","$58,156,435","$65,121,280"
"6,163","Aug 20, 2004",Mean Creek,"$500,000","$603,951","$1,348,750"
"3,516","Aug 20, 2008",The Rocker,"$15,000,000","$6,409,528","$8,767,338"
"1,942","Aug 20, 2010",Nanny McPhee and the Big Bang,"$35,000,000","$29,197,642","$97,799,865"
"2,664","Aug 20, 2010",Piranha 3D,"$24,000,000","$25,003,155","$83,660,160"
"3,090","Aug 20, 2010",The Switch,"$19,000,000","$27,758,465","$49,858,465"
"3,190","Aug 20, 2010",Mao's Last Dancer,"$18,000,000","$4,806,750","$25,941,437"
"3,257","Aug 20, 2010",Lottery Ticket,"$17,000,000","$24,719,879","$24,719,879"
"4,687","Aug 21, 1956",War and Peace,"$6,000,000","$12,500,000","$12,526,254"
"1,476","Aug 21, 1998",Blade,"$45,000,000","$70,141,876","$131,237,688"
"3,610","Aug 21, 1998",Dead Man on Campus,"$14,000,000","$15,064,948","$15,064,948"
"5,934","Aug 21, 1998",Next Stop Wonderland,"$1,000,000","$3,395,581","$3,465,703"
"3,793","Aug 21, 2002",One Hour Photo,"$12,000,000","$31,597,131","$52,223,306"
853,"Aug 21, 2009",Inglourious Basterds,"$70,000,000.00","$120,774,594.00","$316,802,281.00"
"2,929","Aug 21, 2009",Shorts,"$20,000,000","$20,919,166","$29,870,801"
"3,517","Aug 21, 2009",Post Grad,"$15,000,000","$6,382,178","$6,563,402"
"4,179","Aug 21, 2009",World's Greatest Dad,"$10,000,000","$221,805","$295,750"
"4,212","Aug 21, 2009",Fifty Dead Men Walking,"$10,000,000",$0,"$997,921"
"1,098","Aug 21, 2013",The Mortal Instruments: City of Bones,"$60,000,000","$31,165,421","$75,965,567"
"5,144","Aug 21, 2014","Guten Tag, Ramon","$4,000,000","$154,356","$4,854,356"
"2,081","Aug 21, 2015",Criminal,"$31,500,000","$14,708,696","$38,771,262"
"5,664","Aug 21, 2015",The Curse of Downers Grove,"$2,000,000",$0,$0
"6,404","Aug 21, 2015",Top Spin,"$150,000","$5,858","$5,858"
"4,664","Aug 21, 2019",Ready or Not,"$6,000,000","$28,714,231","$56,785,851"
"4,248","Aug 21, 2020",Words on Bathroom Walls,"$9,300,000","$2,542,518","$3,184,180"
"1,391","Aug 21, 2024",The Crow,"$50,000,000","$9,275,659","$15,873,662"
"4,781","Aug 22, 1973",High Plains Drifter,"$5,500,000","$15,700,000","$15,700,000"
"5,006","Aug 22, 1986",The Texas Chainsaw Massacre 2,"$4,700,000","$8,025,872","$8,025,872"
"1,326","Aug 22, 1997",G.I. Jane,"$50,000,000","$48,169,156","$48,169,156"
"2,509","Aug 22, 1997",Money Talks,"$25,000,000","$41,076,865","$41,076,865"
"6,218","Aug 22, 1997",Sunday,"$450,000","$410,919","$450,349"
"5,974","Aug 22, 2001",Lisa Picard is Famous,"$1,000,000","$113,433","$113,433"
"1,591","Aug 22, 2003",The Medallion,"$41,000,000","$22,108,977","$22,108,977"
"3,034","Aug 22, 2003",Marci X,"$20,000,000","$1,646,664","$1,646,664"
"3,607","Aug 22, 2003",My Boss's Daughter,"$14,000,000","$15,549,702","$15,565,357"
"5,968","Aug 22, 2003",The Battle of Shaker Heights,"$1,000,000","$280,351","$839,145"
972,"Aug 22, 2008",Death Race,"$65,000,000","$36,316,032","$72,516,819"
"2,498","Aug 22, 2008",The House Bunny,"$25,000,000","$48,237,389","$71,390,601"
"2,711","Aug 22, 2008",The Longshots,"$23,000,000","$11,511,323","$11,778,396"
"4,289","Aug 22, 2008",Hamlet 2,"$9,000,000","$4,886,216","$4,934,104"
"2,761","Aug 22, 2012",Hit & Run,"$22,000,000","$13,749,300","$17,216,955"
982,"Aug 22, 2014",Sin City: A Dame to Kill For,"$65,000,000","$13,757,804","$40,650,842"
"3,214","Aug 22, 2014",The Prince,"$18,000,000",$0,$0
"3,444","Aug 22, 2014",When the Game Stands Tall,"$15,000,000","$30,127,963","$30,138,912"
"3,576","Aug 22, 2014",Freedom,"$14,500,000",$0,"$872,757"
"3,912","Aug 22, 2014",If I Stay,"$11,000,000","$50,474,843","$78,356,170"
"5,831","Aug 22, 2014",The Possession of Michael King,"$1,300,000",$0,"$2,736,371"
"1,636","Aug 22, 2019",Angel Has Fallen,"$40,000,000","$69,030,436","$133,345,583"
"4,836","Aug 22, 2019",Overcomer,"$5,000,000","$34,700,142","$38,093,564"
"2,713","Aug 23, 1991",Harley Davidson and the Marlboro Man,"$23,000,000","$7,018,525","$7,018,525"
"6,205","Aug 23, 1991",Going Under,"$500,000",$0,$0
"1,706","Aug 23, 1996",The Island of Dr. Moreau,"$40,000,000","$27,682,712","$27,682,712"
"5,222","Aug 23, 1996",She's the One,"$3,500,000","$9,482,579","$13,795,053"
"5,376","Aug 23, 1996",Freeway,"$3,000,000","$295,493","$295,493"
"2,311","Aug 23, 2002",Serving Sara,"$29,000,000","$16,930,185","$20,146,150"
"2,976","Aug 23, 2002",Undisputed,"$20,000,000","$12,398,628","$12,398,628"
"6,133","Aug 23, 2002",Crop Circles: Quest for Truth,"$600,000",$0,$0
"5,699","Aug 23, 2011",Higher Ground,"$1,800,000","$841,056","$842,693"
"1,405","Aug 23, 2012",Upside Down,"$50,000,000","$102,118","$26,387,039"
"1,960","Aug 23, 2012",Premium Rush,"$35,000,000","$20,275,446","$31,393,201"
"3,055","Aug 23, 2012",Zambezia,"$20,000,000",$0,"$34,454,336"
"3,271","Aug 23, 2012",The Apparition,"$17,000,000","$4,936,819","$10,637,281"
"5,122","Aug 23, 2012",Samsara,"$4,000,000","$2,672,413","$5,966,671"
"3,073","Aug 23, 2013",The Frozen Ground,"$19,200,000",$0,"$5,617,460"
"5,910","Aug 23, 2013",You're Next,"$1,000,000","$18,494,006","$26,887,177"
"6,164","Aug 23, 2013",Drinking Buddies,"$500,000","$343,706","$407,100"
"6,236","Aug 23, 2013",Short Term 12,"$400,000","$1,013,100","$2,308,535"
"6,391","Aug 23, 2013",Sparrows Dance,"$175,000","$2,602","$2,602"
"1,319","Aug 23, 2017",American Made,"$50,000,000","$51,342,000","$135,569,212"
"5,574","Aug 23, 2017",All Saints,"$2,000,000","$5,802,208","$5,946,780"
"6,054","Aug 23, 2018",Searching,"$880,000","$26,015,149","$75,636,047"
"5,611","Aug 23, 2019",Monos,"$2,000,000","$406,473","$2,013,217"
"2,611","Aug 23, 2020",Bill & Ted Face the Music,"$25,000,000","$3,439,660","$6,255,630"
"4,839","Aug 23, 2024",The Forge,"$5,000,000","$28,994,262","$29,583,116"
"4,869","Aug 24, 1954",The Egyptian,"$5,000,000","$15,000,000","$15,000,000"
"2,449","Aug 24, 1997",The Grimm Brothers' Snow White,"$26,000,000","$5,000","$5,000"
"2,366","Aug 24, 2001",John Carpenter’s Ghosts of Mars,"$28,000,000","$8,434,601","$8,434,601"
"2,444","Aug 24, 2001",The Curse of the Jade Scorpion,"$26,000,000","$7,496,522","$18,496,522"
"2,747","Aug 24, 2001",Jay and Silent Bob Strike Back,"$22,000,000","$30,059,386","$33,762,400"
"3,260","Aug 24, 2001",Summer Catch,"$17,000,000","$19,693,891","$19,693,891"
"3,709","Aug 24, 2001",Bubble Boy,"$13,000,000","$5,002,310","$5,002,310"
"4,739","Aug 24, 2001",Lucky Break,"$6,000,000","$54,606","$4,316,497"
"2,527","Aug 24, 2007",Mr. Bean’s Holiday,"$25,000,000","$33,302,167","$234,981,342"
"2,548","Aug 24, 2007",War,"$25,000,000","$22,486,409","$40,686,409"
"3,713","Aug 24, 2007",Resurrecting the Champ,"$13,000,000","$3,172,382","$3,260,555"
"3,983","Aug 24, 2007",September Dawn,"$10,100,000","$1,066,555","$1,066,555"
"5,491","Aug 24, 2007",Eye of the Dolphin,"$2,500,000","$72,210","$72,260"
"2,626","Aug 24, 2012",Les petits mouchoirs,"$25,000,000","$205,505","$48,530,887"
"1,723","Aug 24, 2018",The Happytime Murders,"$40,000,000","$20,706,452","$27,506,412"
"1,122","Aug 24, 2022",Three Thousand Years of Longing,"$60,000,000","$8,286,741","$21,245,954"
"5,433","Aug 25, 1939",The Wizard of Oz,"$2,777,000","$35,037,326","$35,348,551"
"2,678","Aug 25, 1995",The Thief and the Cobbler,"$24,000,000","$669,276","$669,276"
"4,525","Aug 25, 1995",Desperado,"$7,000,000","$25,532,388","$25,532,388"
"4,541","Aug 25, 1999",In Too Deep,"$7,000,000","$14,026,509","$15,471,229"
"1,700","Aug 25, 2000",The Art of War,"$40,000,000","$30,199,105","$40,390,931"
"2,708","Aug 25, 2000",The Crew,"$23,000,000","$13,019,253","$13,019,253"
"3,992","Aug 25, 2000",Bring it On,"$10,000,000","$68,353,550","$90,453,550"
"6,480","Aug 25, 2000",Smiling Fish and Goat on Fire,"$40,000","$277,233","$277,233"
"1,649","Aug 25, 2006",Invincible,"$40,000,000","$57,806,952","$58,501,127"
"3,225","Aug 25, 2006",Beerfest,"$17,500,000","$19,185,184","$20,159,316"
"3,488","Aug 25, 2006",Idlewild,"$15,000,000","$12,669,914","$12,669,914"
"6,048","Aug 25, 2006",The Quiet,"$900,000","$381,420","$381,420"
"6,278","Aug 25, 2006",Old Joy,"$300,000","$255,923","$399,908"
"1,720","Aug 25, 2016",Mechanic: Resurrection,"$40,000,000","$21,218,403","$125,729,635"
"3,987","Aug 25, 2016",Don’t Breathe,"$10,000,000","$89,217,875","$158,906,350"
"4,328","Aug 25, 2016",The Age of Shadows (밀정),"$8,600,000","$540,268","$54,500,169"
"1,778","Aug 25, 2017",Death Note,"$40,000,000",$0,$0
"2,094","Aug 25, 2017",Birth of the Dragon,"$31,000,000","$6,901,965","$7,220,490"
"2,615","Aug 25, 2017",Tulip Fever,"$25,000,000","$2,455,635","$6,792,768"
"5,836","Aug 25, 2017",God’s Own Country,"$1,260,000","$338,027","$3,822,788"
"5,329","Aug 26, 1948",Red River,"$3,000,000","$9,012,000","$9,012,000"
"4,659","Aug 26, 1964",Mary Poppins,"$6,000,000","$102,272,145","$102,299,101"
"4,188","Aug 26, 1994",Police Academy 7: Mission to Moscow,"$10,000,000","$126,247","$126,247"
725,"Aug 26, 2005",The Brothers Grimm,"$80,000,000.00","$37,899,638.00","$105,299,638.00"
"2,240","Aug 26, 2005",The Cave,"$30,000,000","$15,007,991","$27,147,991"
"4,300","Aug 26, 2005",Undiscovered,"$9,000,000","$1,069,318","$1,069,318"
"1,828","Aug 26, 2008",Virgin Territory,"$38,000,000",$0,"$5,473,041"
"5,171","Aug 26, 2008",Purple Violets,"$4,000,000",$0,$0
"2,314","Aug 26, 2009",Taking Woodstock,"$29,000,000","$7,460,204","$10,066,366"
"1,683","Aug 26, 2011",Colombiana,"$40,000,000","$36,665,854","$72,295,262"
"2,545","Aug 26, 2011",Don't Be Afraid of the Dark,"$25,000,000","$24,046,682","$39,126,427"
"3,955","Aug 26, 2011",Brighton Rock,"$11,000,000","$229,653","$229,653"
"4,847","Aug 26, 2011",Our Idiot Brother,"$5,000,000","$24,814,830","$25,861,249"
"5,522","Aug 26, 2011",Redemption Road,"$2,300,000","$29,384","$29,384"
"6,047","Aug 26, 2011",Circumstance,"$900,000","$454,121","$958,978"
"6,380","Aug 26, 2014",Sanctuary; Quite a Conundrum,"$200,000",$0,$0
"4,306","Aug 26, 2015",Dheepan,"$9,000,000","$248,795","$7,704,357"
"4,843","Aug 26, 2015",No Escape,"$5,000,000","$27,288,872","$42,844,516"
"5,583","Aug 26, 2015",We Are Your Friends,"$2,000,000","$3,591,417","$10,153,415"
"2,296","Aug 26, 2016",Collide,"$29,200,000","$2,280,004","$5,466,698"
"3,018","Aug 26, 2016",Hands of Stone,"$20,000,000","$4,712,792","$5,031,975"
"4,297","Aug 26, 2016",Greater,"$9,000,000","$2,000,093","$2,000,093"
55,"Aug 26, 2020",Tenet,"$205,000,000.00","$58,504,105.00","$359,518,466.00"
927,"Aug 26, 2020",The New Mutants,"$67,000,000","$23,855,569","$47,535,251"
"4,922","Aug 27, 1982",Jekyll and Hyde... Together Again,"$5,000,000","$3,707,583","$3,707,583"
361,"Aug 27, 1999",The 13th Warrior,"$125,000,000.00","$32,698,899.00","$61,698,899.00"
