Rank,date,primaryTitle_x,budget,domestic_gross,world_gross,title_x,year,name_id,tconst,titleType,primaryTitle_y,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,nconst,writers,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title_y
"6,050",2012-04-27,The Giant Mechanical Man,"$900,000","$7,396","$7,396",the giant mechanical man,2012,the giant mechanical man2012,tt1769363,movie,the giant mechanical man,The Giant Mechanical Man,0,2012,\N,94,"Comedy,Drama,Romance",6.6,10958,nm0456509,nm0456509,Lee Kirk,\N,\N,"writer,director,actor","tt1769363,tt0386676,tt4189494,tt0387378",the giant mechanical man
"6,231",1955-04-28,Kiss Me Deadly,"$410,000",$0,$217,kiss me deadly,1955,kiss me deadly1955,tt0048261,movie,kiss me deadly,Kiss Me Deadly,0,1955,\N,106,"Crime,Film-Noir,Mystery",7.5,22455,nm0000736,"nm0818765,nm0080135",Robert Aldrich,1918,1983,"director,assistant_director,producer","tt0070030,tt0071771,tt0056687,tt0061578",kiss me deadly
"5,648",1971-04-28,Bananas,"$2,000,000",$0,$0,bananas,1971,bananas1971,tt0066808,movie,bananas,Bananas,0,1971,\N,82,Comedy,6.9,38416,nm0000095,"nm0000095,nm0741582",Woody Allen,1935,\N,"writer,director,actor","tt0079522,tt0075686,tt0118954,tt0091167",bananas
"1,143",2000-04-28,The Flintstones in Viva Rock Vegas,"$58,000,000","$35,231,365","$59,431,365",the flintstones in viva rock vegas,2000,the flintstones in viva rock vegas2000,tt0158622,movie,the flintstones in viva rock vegas,The Flintstones in Viva Rock Vegas,0,2000,\N,90,"Comedy,Family,Romance",3.7,25903,nm0505152,"nm0360253,nm0053484,nm0438226,nm0253323,nm0143596,nm0258390",Brian Levant,1952,\N,"producer,writer,director","tt0088616,tt0109813,tt0116705,tt0368578",the flintstones in viva rock vegas
"2,091",2000-04-28,Frequency,"$31,000,000","$44,983,704","$68,079,671",frequency,2000,frequency2000,tt0186151,movie,frequency,Frequency,0,2000,\N,118,"Crime,Drama,Mystery",7.4,117502,nm0387706,nm0256497,Gregory Hoblit,1944,\N,"producer,director,actor","tt0081873,tt0186151,tt0106079,tt0117381",frequency
"3,434",2000-04-28,Where the Heart Is,"$15,000,000","$33,771,174","$40,862,054",where the heart is,2000,where the heart is2000,tt0198021,movie,where the heart is,Where the Heart Is,0,2000,\N,120,"Comedy,Drama,Romance",6.7,36942,nm0931285,"nm0304665,nm0541632,nm0504819",Matt Williams,1951,\N,"writer,producer,miscellaneous","tt0101120,tt1704573,tt0198021,tt0086687",where the heart is
"1,186",2006-04-28,R.V.,"$55,000,000","$71,724,497","$87,473,024",rv,2006,rv2006,tt0449089,movie,rv,RV,0,2006,\N,99,"Adventure,Comedy,Family",5.6,64411,nm0001756,nm0734900,Barry Sonnenfeld,1953,\N,"producer,director,cinematographer","tt0119654,tt0120891,tt1409024,tt0106220",rv
"2,909",2006-04-28,Stick It,"$20,000,000","$26,910,736","$30,399,714",stick it,2006,stick it2006,tt0430634,movie,stick it,Stick It,0,2006,\N,103,"Comedy,Drama,Sport",6.4,30884,nm0070566,nm0070566,Jessica Bendinger,1966,\N,"writer,miscellaneous,producer","tt0204946,tt0430634,tt0429591,tt0361620",stick it
"3,148",2006-04-28,United 93,"$18,000,000","$31,567,134","$77,635,035",united 93,2006,united 932006,tt0475276,movie,united 93,United 93,0,2006,\N,111,"Action,Drama,History",7.6,112243,nm0339030,nm0339030,Paul Greengrass,1955,\N,"director,producer,writer","tt0475276,tt0280491,tt6878306,tt7280898",united 93
"4,389",2006-04-28,Akeelah and the Bee,"$8,000,000","$18,848,430","$18,959,424",akeelah and the bee,2006,akeelah and the bee2006,tt0437800,movie,akeelah and the bee,Akeelah and the Bee,0,2006,\N,112,"Drama,Family",7.4,21962,nm0040328,nm0040328,Doug Atchison,\N,\N,"writer,director,actor","tt0437800,tt0156904,tt3920820,tt6463764",akeelah and the bee
