date,primaryTitle_x,budget,domestic_gross,world_gross,year,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,primaryName,birthYear
1977-08-05,March or Die,"$7,000,000","$1,000,000","$1,000,000",1977,March or Die,0,1977,107,"Adventure,Drama,Romance",6.3,4116,Dick Richards,1936
1998-08-05,Halloween: H2O,"$17,000,000","$55,041,738","$55,041,738",1998,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2005-08-05,The Dukes of Hazzard,"$53,000,000","$80,270,227","$109,848,461",2005,The Dukes of Hazzard,0,2005,104,Comedy,5.1,82586,Jay Chandrasekhar,1968
2005-08-05,Broken Flowers,"$10,000,000","$13,744,960","$40,744,960",2005,Broken Flowers,0,2005,106,"Comedy,Drama,Mystery",7.1,107681,Jim Jarmusch,1953
2005-08-05,The Chumscrubber,"$6,800,000","$49,526","$49,526",2005,The Chumscrubber,0,2005,108,"Comedy,Drama",6.8,19274,Arie Posin,\N
2005-08-05,Saint Ralph,"$5,200,000","$795,126","$1,695,126",2005,Saint Ralph,0,2004,98,"Comedy,Drama,Sport",7.3,6388,Michael McGowan,1966
2005-08-05,My Date With Drew,"$1,100","$181,041","$181,041",2005,My Date with Drew,0,2004,90,Documentary,6.5,4761,Jon Gunn,1973
2005-08-05,My Date With Drew,"$1,100","$181,041","$181,041",2005,My Date with Drew,0,2004,90,Documentary,6.5,4761,Brian Herzlinger,1976
2005-08-05,My Date With Drew,"$1,100","$181,041","$181,041",2005,My Date with Drew,0,2004,90,Documentary,6.5,4761,Brett Winn,\N
2011-08-05,Rise of the Planet of the Apes,"$93,000,000.00","$176,760,185.00","$470,986,200.00",2011,Rise of the Planet of the Apes,0,2011,105,"Action,Drama,Sci-Fi",7.6,584992,Rupert Wyatt,1972
2011-08-05,The Change-Up,"$52,000,000","$37,243,418","$75,997,067",2011,The Change-Up,0,2011,112,"Comedy,Fantasy",6.3,198724,David Dobkin,1969
2011-08-05,The Tunnel,"$135,000","$1,348","$1,348",2011,The Tunnel,0,2011,94,"Horror,Mystery,Thriller",5.8,23853,Carlo Ledesma,\N
2015-08-05,The Fantastic Four,"$120,000,000.00","$56,117,548.00","$167,849,187.00",2015,Fantastic Four,0,2015,100,"Action,Adventure,Sci-Fi",4.3,179888,Josh Trank,1984
2016-08-05,Nine Lives,"$30,000,000","$19,700,032","$57,814,445",2016,Nine Lives,0,2016,87,"Comedy,Drama,Family",5.3,24740,Barry Sonnenfeld,1953
2022-08-05,Prey,"$65,000,000",$0,$0,2022,Prey,0,2022,100,"Action,Adventure,Horror",7.1,238220,Dan Trachtenberg,1981
1993-08-06,The Fugitive,"$44,000,000","$183,875,760","$353,715,317",1993,The Fugitive,0,1993,130,"Action,Crime,Drama",7.8,325689,Andrew Davis,1946
1997-08-06,Def Jam's How To Be a Player,"$12,000,000","$14,010,363","$14,010,363",1997,How to Be a Player,0,1997,93,Comedy,5.3,9266,Lionel C. Martin,\N
1999-08-06,Mystery Men,"$68,000,000","$29,762,011","$33,462,011",1999,Mystery Men,0,1999,121,"Action,Comedy,Fantasy",6.1,71393,Kinka Usher,\N
1999-08-06,The Thomas Crown Affair,"$48,000,000","$69,304,264","$124,304,264",1999,The Thomas Crown Affair,0,1999,113,"Crime,Romance,Thriller",6.8,102272,John McTiernan,1951
1999-08-06,Illuminata,"$10,000,000","$836,641","$836,641",1999,Illuminata,0,1998,119,"Drama,Romance",6.0,1746,John Turturro,1957
2003-08-06,Freaky Friday,"$26,000,000","$110,222,438","$160,822,438",2003,Freaky Friday,0,2003,97,"Comedy,Family,Fantasy",6.3,156561,Mark Waters,1964
2004-08-06,Collateral,"$60,000,000","$100,170,152","$217,602,967",2004,Collateral,0,2004,120,"Action,Crime,Drama",7.5,440414,Michael Mann,1943
2004-08-06,Little Black Book,"$30,000,000","$20,422,207","$21,758,371",2004,Little Black Book,0,2004,107,"Comedy,Drama,Romance",5.3,19267,Nick Hurran,1959
2004-08-06,Code 46,"$7,500,000","$197,148","$1,788,324",2004,Code 46,0,2003,93,"Drama,Romance,Sci-Fi",6.1,21261,Michael Winterbottom,1961
2004-08-06,Saints and Soldiers,"$780,000","$1,310,470","$1,310,470",2004,Saints and Soldiers,0,2003,90,"Action,Drama,War",6.7,21553,Ryan Little,1971
2004-08-06,Open Water,"$500,000","$30,500,882","$55,518,641",2004,Open Water,0,2003,79,"Adventure,Drama,Horror",5.8,57297,Chris Kentis,\N
2008-08-06,The Sisterhood of the Traveling Pants 2,"$27,000,000","$44,089,964","$44,270,131",2008,The Sisterhood of the Traveling Pants 2,0,2008,119,"Comedy,Drama,Romance",6.2,31083,Sanaa Hamri,\N
2008-08-06,Pineapple Express,"$26,000,000","$87,341,380","$102,404,019",2008,Pineapple Express,0,2008,111,"Action,Comedy,Crime",6.9,361455,David Gordon Green,1975
2008-08-06,Bottle Shock,"$5,000,000","$4,078,607","$4,815,890",2008,Bottle Shock,0,2008,110,"Comedy,Drama",6.8,18270,Randall Miller,\N
2010-08-06,The Other Guys,"$100,000,000.00","$119,219,978.00","$170,936,470.00",2010,The Other Guys,0,2010,107,"Action,Comedy,Crime",6.6,293710,Adam McKay,1968
2010-08-06,Step Up 3D,"$30,000,000","$42,400,223","$165,889,117",2010,Step Up 3D,0,2010,107,"Drama,Music,Romance",6.2,60794,Jon M. Chu,1979
2010-08-06,Middle Men,"$20,000,000","$754,301","$754,301",2010,Middle Men,0,2010,82,"Action,Comedy,Crime",5.7,55,Matt Marshall,\N
2010-08-06,Flipped,"$14,000,000","$1,755,212","$4,294,635",2010,Flipped,0,2010,90,"Comedy,Drama,Romance",7.7,99613,Rob Reiner,1947
2010-08-06,The Oxford Murders,"$10,000,000","$4,803","$17,704,131",2010,The Oxford Murders,0,2008,108,"Crime,Mystery,Thriller",6.1,30924,Álex de la Iglesia,1965
2010-08-06,The Disappearance of Alice Creed,"$1,500,000","$166,980","$1,605,139",2010,The Disappearance of Alice Creed,0,2009,100,"Crime,Thriller",6.7,27824,J Blakeson,\N
2015-08-06,The 33,"$25,000,000","$12,227,722","$28,287,489",2015,The 33,0,2015,127,"Biography,Drama,History",6.9,40230,Patricia Riggen,1970
2015-08-06,The Gift,"$5,000,000","$43,787,265","$58,978,477",2015,The Gift,0,2015,108,"Drama,Mystery,Thriller",7.0,176508,Joel Edgerton,1974
1981-08-07,Heavy Metal,"$9,300,000","$19,571,091","$19,571,091",1981,Heavy Metal,0,1981,86,"Adventure,Animation,Fantasy",6.6,38991,Gerald Potterton,1931
1981-08-07,Heavy Metal,"$9,300,000","$19,571,091","$19,571,091",1981,Heavy Metal,0,1981,86,"Adventure,Animation,Fantasy",6.6,38991,John Bruno,\N
1981-08-07,Heavy Metal,"$9,300,000","$19,571,091","$19,571,091",1981,Heavy Metal,0,1981,86,"Adventure,Animation,Fantasy",6.6,38991,John Halas,1912
1981-08-07,Heavy Metal,"$9,300,000","$19,571,091","$19,571,091",1981,Heavy Metal,0,1981,86,"Adventure,Animation,Fantasy",6.6,38991,Julian Harris,\N
1981-08-07,Heavy Metal,"$9,300,000","$19,571,091","$19,571,091",1981,Heavy Metal,0,1981,86,"Adventure,Animation,Fantasy",6.6,38991,Jimmy T. Murakami,1933
1981-08-07,Heavy Metal,"$9,300,000","$19,571,091","$19,571,091",1981,Heavy Metal,0,1981,86,"Adventure,Animation,Fantasy",6.6,38991,Barrie Nelson,\N
1981-08-07,Heavy Metal,"$9,300,000","$19,571,091","$19,571,091",1981,Heavy Metal,0,1981,86,"Adventure,Animation,Fantasy",6.6,38991,Paul Sabella,\N
1981-08-07,Heavy Metal,"$9,300,000","$19,571,091","$19,571,091",1981,Heavy Metal,0,1981,86,"Adventure,Animation,Fantasy",6.6,38991,Jack Stokes,1920
1981-08-07,Heavy Metal,"$9,300,000","$19,571,091","$19,571,091",1981,Heavy Metal,0,1981,86,"Adventure,Animation,Fantasy",6.6,38991,Pino Van Lamsweerde,1940
1981-08-07,Heavy Metal,"$9,300,000","$19,571,091","$19,571,091",1981,Heavy Metal,0,1981,86,"Adventure,Animation,Fantasy",6.6,38991,Harold Whitaker,1920
1992-08-07,Unforgiven,"$14,400,000","$101,157,447","$159,157,447",1992,Unforgiven,0,1992,130,"Drama,Western",8.2,443350,Clint Eastwood,1930
1992-08-07,Raising Cain,"$11,000,000","$21,171,695","$21,171,695",1992,Raising Cain,0,1992,92,"Crime,Drama,Horror",6.1,17809,Brian De Palma,1940
1998-08-07,Snake Eyes,"$73,000,000.00","$55,591,409.00","$103,891,409.00",1998,Snake Eyes,0,1998,98,"Crime,Mystery,Thriller",6.1,88206,Brian De Palma,1940
1998-08-07,Safe Men,"$1,000,000","$21,210","$21,210",1998,Safe Men,0,1998,88,"Comedy,Crime",5.8,3624,John Hamburg,1970
1998-08-07,"First Love, Last Rites","$300,000","$10,876","$10,876",1998,"First Love, Last Rites",0,1997,94,"Drama,Romance",5.5,368,Jesse Peretz,1968
2002-08-07,Spy Kids 2: The Island of Lost Dreams,"$38,000,000","$85,846,296","$119,721,296",2002,Spy Kids 2: Island of Lost Dreams,0,2002,100,"Action,Adventure,Comedy",5.3,74985,Robert Rodriguez,1968
2002-08-07,The Good Girl,"$8,000,000","$14,018,296","$16,585,503",2002,The Good Girl,0,2002,93,"Drama,Romance",6.4,47945,Miguel Arteta,1965
2009-08-07,G.I. Joe: The Rise of Cobra,"$175,000,000.00","$150,201,498.00","$302,469,017.00",2009,G.I. Joe: The Rise of Cobra,0,2009,118,"Action,Adventure,Sci-Fi",5.7,216454,Stephen Sommers,1962
2009-08-07,Julie & Julia,"$40,000,000","$94,125,426","$131,516,178",2009,Julie & Julia,0,2009,123,"Biography,Drama,Romance",7.0,130559,Nora Ephron,1941
2009-08-07,A Perfect Getaway,"$14,000,000","$15,515,460","$22,815,460",2009,A Perfect Getaway,0,2009,98,"Drama,Mystery,Thriller",6.5,77233,David Twohy,\N
2013-08-07,Percy Jackson: Sea of Monsters,"$90,000,000.00","$68,559,554.00","$200,859,554.00",2013,Percy Jackson: Sea of Monsters,0,2013,106,"Adventure,Family,Fantasy",5.7,128623,Thor Freudenthal,1972
2013-08-07,We’re the Millers,"$37,000,000","$150,394,119","$267,816,276",2013,We're the Millers,0,2013,110,"Comedy,Crime",7.0,495762,Rawson Marshall Thurber,1975
2013-08-07,Midnight Cabaret,"$300,000",$0,$0,2013,Midnight Cabaret,0,2012,78,"Action,Crime,Drama",6.6,29,Donna R. Clark,\N
2015-08-07,Ricki and the Flash,"$18,000,000","$26,839,498","$41,166,033",2015,Ricki and the Flash,0,2015,101,"Comedy,Drama,Music",6.0,25122,Jonathan Demme,1944
2015-08-07,Kahlil Gibran's The Prophet,"$12,000,000","$340,536","$1,080,362",2015,The Prophet,0,2014,85,"Animation,Drama",7.0,5105,Roger Allers,\N
2015-08-07,Kahlil Gibran's The Prophet,"$12,000,000","$340,536","$1,080,362",2015,The Prophet,0,2014,85,"Animation,Drama",7.0,5105,Gaëtan Brizzi,1951
2015-08-07,Kahlil Gibran's The Prophet,"$12,000,000","$340,536","$1,080,362",2015,The Prophet,0,2014,85,"Animation,Drama",7.0,5105,Paul Brizzi,1951
2015-08-07,Kahlil Gibran's The Prophet,"$12,000,000","$340,536","$1,080,362",2015,The Prophet,0,2014,85,"Animation,Drama",7.0,5105,Joan C. Gratz,\N
2015-08-07,Kahlil Gibran's The Prophet,"$12,000,000","$340,536","$1,080,362",2015,The Prophet,0,2014,85,"Animation,Drama",7.0,5105,Mohammed Saeed Harib,\N
2015-08-07,Kahlil Gibran's The Prophet,"$12,000,000","$340,536","$1,080,362",2015,The Prophet,0,2014,85,"Animation,Drama",7.0,5105,Tomm Moore,1977
2015-08-07,Kahlil Gibran's The Prophet,"$12,000,000","$340,536","$1,080,362",2015,The Prophet,0,2014,85,"Animation,Drama",7.0,5105,Nina Paley,1968
2015-08-07,Kahlil Gibran's The Prophet,"$12,000,000","$340,536","$1,080,362",2015,The Prophet,0,2014,85,"Animation,Drama",7.0,5105,Bill Plympton,1946
2015-08-07,Kahlil Gibran's The Prophet,"$12,000,000","$340,536","$1,080,362",2015,The Prophet,0,2014,85,"Animation,Drama",7.0,5105,Joann Sfar,1971
2015-08-07,Kahlil Gibran's The Prophet,"$12,000,000","$340,536","$1,080,362",2015,The Prophet,0,2014,85,"Animation,Drama",7.0,5105,Michal Socha,1981
2015-08-07,Cop Car,"$5,000,000","$134,552","$143,658",2015,Cop Car,0,2015,88,"Crime,Thriller",6.3,35649,Jon Watts,1981
2015-08-07,The Diary of a Teenage Girl,"$2,000,000","$1,477,002","$2,279,959",2015,The Diary of a Teenage Girl,0,2015,102,"Comedy,Drama,Romance",6.8,34041,Marielle Heller,1979
2019-08-07,PLAYMOBIL,"$75,000,000.00","$1,115,008.00","$16,288,031.00",2019,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2020-08-07,The Tax Collector,"$30,000,000","$1,044,212","$1,309,971",2020,The Tax Collector,0,2020,95,"Action,Crime,Drama",4.8,15761,David Ayer,1968
2024-08-07,It Ends With Us,"$25,000,000","$148,486,482","$345,714,478",2024,It Ends with Us,0,2024,130,"Drama,Romance",6.5,45703,Justin Baldoni,1984
2024-08-07,Speak No Evil,"$15,000,000","$36,795,065","$75,840,315",2024,Speak No Evil,0,2024,110,"Drama,Horror,Thriller",6.9,50628,James Watkins,1978
1963-08-08,The Great Escape,"$4,000,000","$11,744,471","$11,973,397",1963,The Great Escape,0,1963,172,"Adventure,Drama,Thriller",8.2,262858,John Sturges,1910
1986-08-08,Stand by Me,"$8,000,000","$52,287,414","$52,289,686",1986,Stand by Me,0,1986,89,"Adventure,Comedy,Drama",8.1,452162,Rob Reiner,1947
1986-08-08,She's Gotta Have It,"$175,000","$7,137,502","$7,137,502",1986,She's Gotta Have It,0,1986,84,"Comedy,Romance",6.8,16621,Spike Lee,1957
1997-08-08,Conspiracy Theory,"$80,000,000.00","$76,118,990.00","$142,783,718.00",1997,Conspiracy Theory,0,1997,135,"Action,Drama,Mystery",6.7,108923,Richard Donner,1930
2001-08-08,The Deep End,"$3,000,000","$8,823,109","$9,981,635",2001,The Deep End,0,2001,101,"Crime,Drama,Mystery",6.5,12218,Scott McGehee,\N
2001-08-08,The Deep End,"$3,000,000","$8,823,109","$9,981,635",2001,The Deep End,0,2001,101,"Crime,Drama,Mystery",6.5,12218,David Siegel,\N
2003-08-08,S.W.A.T.,"$70,000,000.00","$116,877,597.00","$207,154,748.00",2003,S.W.A.T.,0,2003,117,"Action,Adventure,Crime",6.1,155630,Clark Johnson,\N
2007-08-08,Daddy Day Camp,"$6,000,000","$13,235,267","$18,209,872",2007,Daddy Day Camp,0,2007,93,"Comedy,Family",3.2,18138,Fred Savage,1976
2012-08-08,Hope Springs,"$30,000,000","$63,536,011","$133,085,295",2012,Hope Springs,0,2012,100,"Comedy,Drama,Romance",6.3,44847,David Frankel,1959
2014-08-08,Teenage Mutant Ninja Turtles,"$125,000,000.00","$191,204,754.00","$485,004,754.00",2014,Teenage Mutant Ninja Turtles,0,2014,101,"Action,Adventure,Comedy",5.8,222836,Jonathan Liebesman,1976
2014-08-08,Into the Storm,"$50,000,000","$47,602,194","$150,429,371",2014,Into the Storm,0,2014,89,"Action,Adventure,Drama",5.8,72473,Steven Quale,\N
2014-08-08,The Hundred-Foot Journey,"$22,000,000","$54,235,441","$94,270,488",2014,The Hundred-Foot Journey,0,2014,122,"Comedy,Drama",7.3,88476,Lasse Hallström,1946
2014-08-08,What If,"$11,000,000","$3,493,000","$9,814,566",2014,The F Word,0,2013,98,"Comedy,Romance",6.8,82368,Michael Dowse,1973
2014-08-08,What If,"$11,000,000","$3,493,000","$9,814,566",2014,What If,0,2013,90,Mystery,5.2,60,Hari Mahesh,\N
2014-08-08,The Maid's Room,"$600,000",$0,$0,2014,The Maid's Room,0,2013,98,Thriller,4.6,1428,Michael Walker,\N
2018-08-08,Dog Days,"$10,000,000","$6,809,080","$10,290,831",2018,Dog Days,0,2018,113,"Comedy,Drama,Romance",6.2,5645,Ken Marino,1968
2018-08-08,Dog Days,"$10,000,000","$6,809,080","$10,290,831",2018,Dog Days,0,2018,124,Drama,6.5,7,Timmy Harn,\N
2019-08-08,Dora and the Lost City of Gold,"$49,000,000","$60,477,943","$120,592,276",2019,Dora and the Lost City of Gold,0,2019,102,"Action,Adventure,Comedy",6.1,35917,James Bobin,1972
2019-08-08,Scary Stories to Tell in the Dark,"$28,000,000","$68,947,075","$104,793,708",2019,Scary Stories to Tell in the Dark,0,2019,108,"Adventure,Horror,Mystery",6.2,87581,André Øvredal,1973
1989-08-09,The Abyss,"$70,000,000.00","$54,763,229.00","$54,793,434.00",1989,The Abyss,0,1989,140,"Adventure,Drama,Mystery",7.5,197685,James Cameron,1954
1991-08-09,Double Impact,"$16,000,000","$29,090,445","$29,090,445",1991,Double Impact,0,1991,110,"Action,Crime",5.6,44923,Sheldon Lettich,1951
1995-08-09,The Brothers McMullen,"$50,000","$10,426,506","$10,426,506",1995,The Brothers McMullen,0,1995,98,"Comedy,Drama,Romance",6.6,8321,Edward Burns,1968
1996-08-09,Escape from L.A.,"$50,000,000","$25,426,861","$25,426,861",1996,Escape from L.A.,0,1996,101,"Action,Adventure,Sci-Fi",5.7,81871,John Carpenter,1948
1996-08-09,Jack,"$45,000,000","$58,617,334","$58,617,334",1996,Jack,0,1996,113,"Comedy,Drama,Fantasy",5.8,64841,Francis Ford Coppola,1939
1996-08-09,Basquiat,"$3,000,000","$2,962,051","$2,962,051",1996,Basquiat,0,1996,107,"Biography,Drama",6.9,22440,Julian Schnabel,1951
2002-08-09,xXx,"$70,000,000.00","$141,930,000.00","$267,200,000.00",2002,xXx,0,2002,124,"Action,Adventure,Drama",5.8,188173,Rob Cohen,1949
2002-08-09,Blood Work,"$50,000,000","$26,199,517","$26,199,517",2002,Blood Work,0,2002,110,"Action,Crime,Drama",6.4,48500,Clint Eastwood,1930
2002-08-09,Pandora’s Box,"$800,000","$881,950","$881,950",2002,Pandora's Box,0,2002,103,"Drama,Thriller",4.7,791,Rob Hardy,\N
2006-08-09,World Trade Center,"$65,000,000","$70,278,893","$163,295,654",2006,World Trade Center,0,2006,129,"Drama,History,Thriller",6.0,88800,Oliver Stone,1946
2012-08-09,The Sapphires,"$9,000,000","$2,450,867","$20,395,040",2012,The Sapphires,0,2012,103,"Biography,Comedy,Drama",7.0,15366,Wayne Blair,1971
2013-08-09,Elysium,"$120,000,000.00","$93,050,117.00","$286,192,091.00",2013,Elysium,0,2013,109,"Action,Drama,Sci-Fi",6.6,476543,Neill Blomkamp,1979
2013-08-09,Disney Planes,"$50,000,000","$90,282,580","$238,059,569",2013,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2018-08-09,The Meg,"$178,000,000.00","$145,443,742.00","$527,267,828.00",2018,The Meg,0,2018,113,"Action,Horror,Sci-Fi",5.7,213090,Jon Turteltaub,1963
2018-08-09,BlacKkKlansman,"$15,000,000","$49,275,340","$93,411,426",2018,BlacKkKlansman,0,2018,135,"Biography,Comedy,Crime",7.5,296570,Spike Lee,1957
2019-08-09,The Kitchen,"$38,000,000","$12,180,032","$15,779,261",2019,The Kitchen,0,2019,102,"Action,Crime,Drama",5.6,23288,Andrea Berloff,\N
2019-08-09,The Art of Racing in the Rain,"$18,000,000","$26,402,818","$33,773,963",2019,The Art of Racing in the Rain,0,2019,109,"Comedy,Drama,Romance",7.6,39876,Simon Curtis,1960
2019-08-09,Blinded by the Light,"$15,000,000","$11,901,145","$19,529,914",2019,Blinded by the Light,0,2019,118,"Comedy,Drama,Music",6.9,27663,Gurinder Chadha,1960
2019-08-09,Brian Banks,"$10,000,000","$4,376,820","$4,376,820",2019,Brian Banks,0,2018,99,"Biography,Drama,Sport",7.2,9842,Tom Shadyac,1958
2019-08-09,The Peanut Butter Falcon,"$6,200,000","$20,457,158","$23,191,551",2019,The Peanut Butter Falcon,0,2019,97,"Adventure,Comedy,Drama",7.6,109336,Tyler Nilson,1981
2019-08-09,The Peanut Butter Falcon,"$6,200,000","$20,457,158","$23,191,551",2019,The Peanut Butter Falcon,0,2019,97,"Adventure,Comedy,Drama",7.6,109336,Michael Schwartz,\N
2019-08-09,The Circus: Down the Road,"$250,000",$0,$0,2019,The Circus: Down the Road,0,2016,98,Documentary,6.8,22,Seth Camillo,\N
2019-08-09,The Circus: Down the Road,"$250,000",$0,$0,2019,The Circus: Down the Road,0,2016,98,Documentary,6.8,22,Barbara Camillo,\N
2019-08-09,Socrates,"$20,000",$0,$849,2019,Socrates,0,2018,71,Drama,7.1,1268,Alexandre Moratto,\N
2023-08-09,The Last Voyage of the Demeter,"$45,000,000","$13,637,180","$20,397,648",2023,The Last Voyage of the Demeter,0,2023,118,"Fantasy,Horror,Thriller",6.1,57665,André Øvredal,1973
1988-12-01,Talk Radio,"$4,000,000","$3,468,572","$3,468,572",1988,Talk Radio,0,1988,110,"Drama,Thriller",7.2,14880,Oliver Stone,1946
1995-12-01,Things to Do in Denver when You're Dead,"$15,000,000","$529,766","$529,766",1995,Things to Do in Denver When You're Dead,0,1995,115,"Crime,Drama,Thriller",6.7,30159,Gary Fleder,1965
2000-12-01,Panic,"$1,000,000","$779,137","$1,425,707",2000,Panic,0,2000,88,"Comedy,Crime,Drama",6.6,9251,Henry Bromell,1947
2006-12-01,The Nativity Story,"$35,000,000","$37,629,831","$46,309,644",2006,The Nativity Story,0,2006,101,"Adventure,Drama,Family",6.8,12427,Catherine Hardwicke,1955
2006-12-01,Turistas,"$10,000,000","$7,027,762","$14,321,070",2006,Turistas,0,2006,93,"Horror,Mystery,Thriller",5.4,41213,John Stockwell,1961
2009-12-01,Frat Party,"$1,000,000",$0,$0,2009,Frat Party,0,2009,90,Comedy,2.8,1947,Robert Bennett,\N
2015-12-01,Shark Lake,"$2,000,000",$0,$0,2015,Shark Lake,0,2015,92,Horror,3.4,2733,Jerry Dugan,\N
2015-12-01,Brooklyn Bizarre,"$500,000",$0,$0,2015,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2015-12-01,Dutch Kills,"$25,000",$0,$0,2015,Dutch Kills,0,2015,90,"Crime,Drama,Thriller",5.5,128,Joseph Mazzella,\N
2017-12-01,The Shape of Water,"$19,500,000","$63,859,435","$195,790,794",2017,The Shape of Water,0,2017,123,"Drama,Fantasy,Romance",7.3,453698,Guillermo del Toro,1964
2017-12-01,The Disaster Artist,"$10,000,000","$21,120,616","$28,717,667",2017,The Disaster Artist,0,2017,104,"Biography,Comedy,Drama",7.3,166448,James Franco,1978
2017-12-01,Daisy Winters,"$4,500,000",$0,$0,2017,Daisy Winters,0,2017,90,Drama,6.5,380,Beth LaMure,1965
2017-12-01,Perfectos Desconocidos,"$4,000,000",$0,"$31,166,312",2017,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2020-12-01,Host,"$35,000",$0,"$436,536",2020,Host,0,2020,57,"Horror,Mystery",6.5,42235,Rob Savage,1992
2021-12-01,Sing 2,"$85,000,000.00","$162,790,990.00","$404,534,588.00",2021,Sing 2,0,2021,110,"Adventure,Animation,Comedy",7.3,91510,Garth Jennings,1972
2021-12-01,Sing 2,"$85,000,000.00","$162,790,990.00","$404,534,588.00",2021,Sing 2,0,2021,110,"Adventure,Animation,Comedy",7.3,91510,Christophe Lourdelet,\N
2022-12-01,I Heard the Bells,"$3,000,000","$5,644,104","$5,679,324",2022,I Heard the Bells,0,2022,110,Drama,6.7,719,Joshua Enck,\N
1977-12-10,Capricorn One,"$5,000,000",$0,$401,1977,Capricorn One,0,1977,123,"Action,Adventure,Drama",6.8,25549,Peter Hyams,1943
1999-12-10,The Green Mile,"$60,000,000","$136,801,374","$290,701,374",1999,The Green Mile,0,1999,189,"Crime,Drama,Fantasy",8.6,1441581,Frank Darabont,1959
1999-12-10,Deuce Bigalow: Male Gigolo,"$18,000,000","$65,535,067","$92,935,067",1999,Deuce Bigalow: Male Gigolo,0,1999,88,"Comedy,Romance",5.7,81222,Mike Mitchell,1970
1999-12-10,Diamonds,"$11,900,000","$81,897","$81,897",1999,Diamonds,0,1999,91,"Comedy,Mystery",5.4,1818,John Asher,1971
2003-12-10,Big Fish,"$70,000,000.00","$66,432,867.00","$123,954,323.00",2003,Big Fish,0,2003,125,"Adventure,Drama,Fantasy",8.0,464007,Tim Burton,1958
2004-12-10,Ocean\'s Twelve,"$110,000,000.00","$125,531,634.00","$362,989,076.00",2004,Ocean's Twelve,0,2004,125,"Crime,Thriller",6.5,420152,Steven Soderbergh,1963
2004-12-10,The Life Aquatic with Steve Zissou,"$50,000,000","$24,006,726","$34,806,726",2004,The Life Aquatic with Steve Zissou,0,2004,119,"Action,Adventure,Comedy",7.2,213432,Wes Anderson,1969
2004-12-10,Freeze Frame,"$2,000,000",$0,"$105,377",2004,Freeze Frame,0,2004,99,"Crime,Drama,Mystery",6.3,2966,John Simpson,\N
2004-12-10,Fabled,"$400,000","$31,425","$31,425",2004,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2008-12-10,The Reader,"$32,500,000","$34,194,407","$112,964,875",2008,The Reader,0,2008,124,"Drama,Mystery,Romance",7.6,263847,Stephen Daldry,1960
2008-12-10,Wendy and Lucy,"$300,000","$865,695","$1,416,046",2008,Wendy and Lucy,0,2008,80,Drama,7.1,20053,Kelly Reichardt,1964
2010-12-10,The Chronicles of Narnia: The Voyage of the Daw…,"$155,000,000.00","$104,386,950.00","$418,186,950.00",2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,0,2010,113,"Adventure,Family,Fantasy",6.3,169047,Michael Apted,1941
2010-12-10,The Tourist,"$100,000,000.00","$67,631,157.00","$278,731,369.00",2010,The Tourist,0,2010,103,"Action,Thriller",6.0,259548,Florian Henckel von Donnersmarck,1973
2010-12-10,The Tempest,"$20,000,000","$277,943","$277,943",2010,The Tempest,0,2010,110,"Comedy,Drama,Fantasy",5.3,8264,Julie Taymor,1952
2010-12-10,The Tempest,"$20,000,000","$277,943","$277,943",2010,The Tempest,0,2010,131,Drama,7.8,172,Des McAnuff,1952
2010-12-10,The Fighter,"$11,000,000","$93,617,009","$129,262,388",2010,The Fighter,0,2010,116,"Action,Biography,Drama",7.8,393606,David O. Russell,1958
2014-12-10,The Hobbit: The Battle of the Five Armies,"$250,000,000.00","$255,119,788.00","$940,323,039.00",2014,The Hobbit: The Battle of the Five Armies,0,2014,144,"Adventure,Fantasy",7.4,584582,Peter Jackson,1961
2014-12-10,The Gambler,"$25,000,000","$33,680,992","$38,718,031",2014,The Gambler,0,2014,111,"Crime,Drama,Thriller",6.0,74627,Rupert Wyatt,1972
2021-12-10,National Champions,"$9,000,000","$475,488","$475,488",2021,National Champions,0,2021,116,"Drama,Sport",5.7,2007,Ric Roman Waugh,\N
1965-12-11,Thunderball,"$9,000,000","$63,600,000","$141,200,000",1965,Thunderball,0,1965,130,"Action,Adventure,Thriller",6.9,129234,Terence Young,1915
1968-12-11,Oliver!,"$10,000,000","$37,402,877","$37,402,877",1968,Oliver!,0,1968,153,"Drama,Family,Musical",7.4,42033,Carol Reed,1906
1974-12-11,The Godfather: Part II,"$13,000,000","$57,300,000","$57,386,952",1974,The Godfather Part II,0,1974,202,"Crime,Drama",9.0,1392494,Francis Ford Coppola,1939
1987-12-11,Wall Street,"$16,500,000","$43,848,100","$43,848,100",1987,Wall Street,0,1987,126,"Crime,Drama",7.3,167423,Oliver Stone,1946
1991-12-11,Hook,"$70,000,000.00","$119,654,823.00","$300,854,823.00",1991,Hook,0,1991,142,"Adventure,Comedy,Family",6.8,277491,Steven Spielberg,1946
