date,primaryTitle_x,budget,domestic_gross,world_gross,year,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,primaryName,birthYear
2011-04-01,Hop,"$63,000,000","$108,085,305","$188,494,082",2011,Hop,0,2011,95,"Adventure,Animation,Comedy",5.4,37952,Tim Hill,1958
2011-04-01,Source Code,"$32,000,000","$54,712,227","$140,428,499",2011,Source Code,0,2011,93,"Action,Drama,Mystery",7.5,559321,Duncan Jones,1971
2011-04-01,The Last Godfather,"$13,400,000","$164,247","$164,247",2011,The Last Godfather,0,2010,100,"Comedy,Crime,Romance",3.5,1334,Hyung-rae Shim,1958
2011-04-01,Haevnen,"$5,500,000","$1,008,098","$15,867,314",2011,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2011-04-01,Trust,"$4,000,000","$120,016","$120,016",2011,Ruggine,0,2011,109,Drama,6.0,488,Daniele Gaglianone,1966
2011-04-01,"Fat, Sick & Nearly Dead","$2,600,000",$0,$0,2011,"Fat, Sick & Nearly Dead",0,2010,97,Documentary,7.5,8959,Joe Cross,\N
2011-04-01,"Fat, Sick & Nearly Dead","$2,600,000",$0,$0,2011,"Fat, Sick & Nearly Dead",0,2010,97,Documentary,7.5,8959,Kurt Engfehr,\N
2011-04-01,Super,"$2,500,000","$327,716","$593,933",2011,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2011-04-01,Insidious,"$1,500,000","$54,009,150","$99,870,886",2011,Insidious,0,2010,103,"Horror,Mystery,Thriller",6.8,346245,James Wan,1977
2011-04-01,Rubber,"$500,000","$100,370","$680,914",2011,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2015-04-01,Furious 7,"$190,000,000.00","$353,007,020.00","$1,511,986,364.00",2015,Fast & Furious 7,0,2015,137,"Action,Crime,Thriller",7.1,420506,James Wan,1977
2015-04-01,Woman in Gold,"$11,000,000","$33,307,793","$58,586,407",2015,Woman in Gold,0,2015,109,"Biography,Drama,History",7.3,64172,Simon Curtis,1960
2016-04-01,God’s Not Dead 2,"$5,000,000","$20,773,069","$23,551,286",2016,God's Not Dead 2,0,2016,120,Drama,4.3,13744,Harold Cronk,\N
2016-04-01,Hunt for the Wilderpeople,"$2,500,000","$5,205,471","$23,900,842",2016,Hunt for the Wilderpeople,0,2016,101,"Adventure,Comedy,Drama",7.8,145278,Taika Waititi,1975
2016-04-01,Meet the Blacks,"$900,000","$9,097,072","$9,097,072",2016,Meet the Blacks,0,2016,94,"Comedy,Horror",4.8,38074,Deon Taylor,\N
