Rank,date,primaryTitle_x,budget,domestic_gross,world_gross,year,name_id_x,matched_name,tconst,titleType,primaryTitle_y,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,nconst,writers,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,name_id_y
"6,257",1981-01-30,Maniac,"$350,000","$10,000,000","$10,000,000",1981,Maniac1981,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"3,275",1981-04-17,Roar,"$17,000,000","$2,110,050","$2,110,453",1981,Roar1981,Roar1981,tt0083001,movie,Roar,Roar,0,1981,\N,95,"Adventure,Comedy,Thriller",6.1,4756,nm0551082,"nm0551082,nm0144252",Noel Marshall,1931,2010,"producer,director,actor","tt0083001,tt0070047,tt0070416,tt0070157",Roar1981
"6,240",1981-04-29,E tu vivrai nel terrore - L'aldilà,"$400,000","$126,387","$136,926",1981,E tu vivrai nel terrore - L'aldilà1981,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"5,451",1987-09-18,Maurice,"$2,600,000","$3,147,950","$3,305,831",1987,Maurice1987,Maurice1987,tt0093512,movie,Maurice,Maurice,0,1987,\N,140,"Drama,Romance",7.6,24451,nm0412465,"nm0286950,nm0381388,nm0412465",James Ivory,1928,\N,"director,writer,producer","tt5726616,tt0091867,tt0107943,tt0104454",Maurice1987
"6,258",1987-05-01,American Ninja 2: The Confrontation,"$350,000","$4,000,000","$4,000,000",1987,American Ninja 2: The Confrontation1987,American Ninja 2: The Confrontation1987,tt0092548,movie,American Ninja 2: The Confrontation,American Ninja 2: The Confrontation,0,1987,\N,90,"Action,Comedy,Drama",4.9,9956,nm0278735,"nm0459047,nm0024948,nm0176684,nm0095718",Sam Firstenberg,1950,\N,"director,assistant_director,writer","tt0082850,tt0109518,tt0106432,tt0088708",American Ninja 2: The Confrontation1987
"3,951",1991-08-02,Return to the Blue Lagoon,"$11,000,000","$2,000,000","$2,000,000",1991,Return to the Blue Lagoon1991,Return to the Blue Lagoon1991,tt0102782,movie,Return to the Blue Lagoon,Return to the Blue Lagoon,0,1991,\N,102,"Adventure,Drama,Romance",5.2,22022,nm0334353,"nm0821070,nm0828562",William A. Graham,1926,2013,"director,producer,writer","tt0102782,tt0831400,tt0446859,tt0106179",Return to the Blue Lagoon1991
"4,416",1991-08-23,Showdown in Little Tokyo,"$8,000,000","$2,275,557","$2,275,557",1991,Showdown in Little Tokyo1991,Showdown in Little Tokyo1991,tt0102915,movie,Showdown in Little Tokyo,Showdown in Little Tokyo,0,1991,\N,79,"Action,Comedy,Crime",6.1,21155,nm0504495,"nm0321739,nm0105585",Mark L. Lester,\N,\N,"producer,director,writer","tt0088944,tt0083739,tt0087262,tt0102915",Showdown in Little Tokyo1991
"6,176",1991-08-21,Johnny Suede,"$500,000","$55,000","$55,000",1991,Johnny Suede1991,Johnny Suede1991,tt0104567,movie,Johnny Suede,Johnny Suede,0,1991,\N,97,"Comedy,Drama,Music",5.8,4517,nm0001139,nm0001139,Tom DiCillo,1953,\N,"director,cinematographer,writer","tt0412637,tt0113677,tt0104567,tt1333667",Johnny Suede1991
"6,216",1991-06-14,Straight out of Brooklyn,"$450,000","$2,712,293","$2,712,293",1991,Straight out of Brooklyn1991,Straight Out of Brooklyn1991,tt0102989,movie,Straight Out of Brooklyn,Straight Out of Brooklyn,0,1991,\N,91,"Crime,Drama",5.8,680,nm0723685,nm0723685,Matty Rich,\N,\N,"director,writer,producer","tt0102989,tt0110137,tt0456816,tt6561998",Straight Out of Brooklyn1991
"3,105",1993-11-24,The Nutcracker,"$19,000,000","$2,119,994","$2,119,994",1993,The Nutcracker1993,The Nutcracker1993,tt0107719,movie,The Nutcracker,The Nutcracker,0,1993,\N,92,"Family,Fantasy,Music",5.8,2474,nm0001915,nm0178402,Emile Ardolino,1943,1993,"director,producer,miscellaneous","tt0092890,tt0149439,tt0085655,tt0165042",The Nutcracker1993
"4,715",1993-08-27,Only the Strong,"$6,000,000","$3,273,588","$3,273,588",1993,Only the Strong1993,Only the Strong1993,tt0107750,movie,Only the Strong,Only the Strong,0,1993,\N,99,"Action,Drama",6.5,7088,nm0504802,"nm0504802,nm0261528",Sheldon Lettich,1951,\N,"writer,director,producer","tt3369806,tt0101764,tt0100029,tt0095956",Only the Strong1993
"5,633",1993-10-29,Return of the Living Dead 3,"$2,000,000","$21,000","$21,000",1993,Return of the Living Dead 31993,Return of the Living Dead III1993,tt0107953,movie,Return of the Living Dead III,Return of the Living Dead III,0,1993,\N,97,Horror,5.9,17230,nm0951206,nm0003587,Brian Yuzna,1949,\N,"writer,producer,director","tt0116075,tt0222812,tt0223268,tt0091083",Return of the Living Dead III1993
"5,702",1993-10-17,Ed and his Dead Mother,"$1,800,000",$673,$673,1993,Ed and his Dead Mother1993,Ed and His Dead Mother1993,tt0106792,movie,Ed and His Dead Mother,Ed and His Dead Mother,0,1993,\N,93,"Comedy,Horror",6.0,2464,nm0905237,nm0400515,Jonathan Wacks,\N,\N,"director,producer,writer","tt0209984,tt0087995,tt0098112,tt6811908",Ed and His Dead Mother1993
"3,003",1969-04-01,Sweet Charity,"$20,000,000","$8,000,000","$8,000,000",1969,Sweet Charity1969,Sweet Charity1969,tt0065054,movie,Sweet Charity,Sweet Charity,0,1969,\N,149,"Comedy,Drama,Music",6.9,7049,nm0002080,"nm0800319,nm0000019,nm0684083,nm0280919,nm0832099",Bob Fosse,1927,1987,"miscellaneous,actor,director","tt0068327,tt0071746,tt0078754,tt0256153",Sweet Charity1969
"6,292",1975-04-01,Death Race 2000,"$300,000",$0,$0,1975,Death Race 20001975,Death Race 20001975,tt0072856,movie,Death Race 2000,Death Race 2000,0,1975,\N,80,"Action,Comedy,Sci-Fi",6.2,31709,nm0000860,"nm0858379,nm0341458,nm0577477",Paul Bartel,1938,2000,"actor,director,writer","tt0083869,tt0098261,tt0116225,tt0114814",Death Race 20001975
"6,248",1986-04-01,My Beautiful Laundrette,"$400,000",$0,"$9,442",1986,My Beautiful Laundrette1986,My Beautiful Laundrette1985,tt0091578,movie,My Beautiful Laundrette,My Beautiful Laundrette,0,1985,\N,97,"Comedy,Drama,Romance",6.8,17642,nm0001241,nm0475659,Stephen Frears,1941,\N,"director,producer,actor","tt2431286,tt0094947,tt0301199,tt0436697",My Beautiful Laundrette1985
"2,565",1988-04-01,"Bright Lights, Big City","$25,000,000","$16,118,077","$16,118,077",1988,"Bright Lights, Big City1988","Bright Lights, Big City1988",tt0094799,movie,"Bright Lights, Big City","Bright Lights, Big City",0,1988,\N,107,Drama,5.7,9162,nm0108745,nm0570557,James Bridges,1936,1993,"writer,actor,director","tt0078966,tt0089798,tt0070509,tt0064177","Bright Lights, Big City1988"
"5,409",1988-04-01,Iguana,"$3,000,000",$0,$0,1988,Iguana1988,Iguana1988,tt0095354,movie,Iguana,Iguana,0,1988,\N,88,"Adventure,Crime,Drama",6.1,562,nm0375494,"nm0904723,nm0375494,nm0954269,nm0310830",Monte Hellman,1929,2021,"director,editor,producer","tt0095354,tt1504319,tt0105236,tt0059653",Iguana1988
"6,529",1996-04-01,Bang,"$10,000",$527,$527,1996,Bang1996,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"1,629",2005-04-01,Sin City,"$40,000,000","$74,103,820","$158,527,918",2005,Sin City2005,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
348,2010-04-01,Clash of the Titans,"$125,000,000.00","$163,214,888.00","$493,214,888.00",2010,Clash of the Titans2010,Clash of the Titans2010,tt0800320,movie,Clash of the Titans,Clash of the Titans,0,2010,\N,106,"Action,Adventure,Fantasy",5.8,295600,nm0504642,"nm2012438,nm0006534,nm0542062,nm0189117",Louis Leterrier,1973,\N,"director,producer,actor","tt0800080,tt5433140,tt1670345,tt0293662",Clash of the Titans2010
996,2011-04-01,Hop,"$63,000,000","$108,085,305","$188,494,082",2011,Hop2011,Hop2011,tt1411704,movie,Hop,Hop,0,2011,\N,95,"Adventure,Animation,Comedy",5.4,37952,nm0384722,"nm0666791,nm0202425,nm0528244",Tim Hill,1958,\N,"writer,producer,director","tt0206512,tt0101235,tt0952640,tt0455499",Hop2011
"2,054",2011-04-01,Source Code,"$32,000,000","$54,712,227","$140,428,499",2011,Source Code2011,Source Code2011,tt0945513,movie,Source Code,Source Code,0,2011,\N,93,"Action,Drama,Mystery",7.5,559321,nm1512910,nm1618286,Duncan Jones,1971,\N,"director,writer,producer","tt1182345,tt0945513,tt1464763,tt0803096",Source Code2011
"3,654",2011-04-01,The Last Godfather,"$13,400,000","$164,247","$164,247",2011,The Last Godfather2011,The Last Godfather2010,tt1584131,movie,The Last Godfather,The Last Godfather,0,2010,\N,100,"Comedy,Crime,Romance",3.5,1334,nm0405374,nm0405374,Hyung-rae Shim,1958,\N,"actor,director,producer","tt0372873,tt0296605,tt3653144,tt1584131",The Last Godfather2010
"4,791",2011-04-01,Haevnen,"$5,500,000","$1,008,098","$15,867,314",2011,Haevnen2011,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"5,148",2011-04-01,Trust,"$4,000,000","$120,016","$120,016",2011,Trust2011,Rust2011,tt1833781,movie,Rust,Ruggine,0,2011,\N,109,Drama,6.0,488,nm0300880,"nm4303793,nm0300880,nm0022085,nm1520934",Daniele Gaglianone,1966,\N,"director,writer,cinematographer","tt3029626,tt0435224,tt0271679,tt1833781",Rust2011
"5,457",2011-04-01,"Fat, Sick & Nearly Dead","$2,600,000",$0,$0,2011,"Fat, Sick & Nearly Dead2011","Fat, Sick & Nearly Dead 22014",tt3701804,movie,"Fat, Sick & Nearly Dead 2","Fat, Sick & Nearly Dead 2",0,2014,\N,88,Documentary,6.4,1691,nm0257373,"nm3001390,nm0257373,nm1990987,nm1651785",Kurt Engfehr,\N,\N,"editor,producer,editorial_department","tt0310793,tt1352852,tt0361596,tt1227378","Fat, Sick & Nearly Dead 22014"
"5,484",2011-04-01,Super,"$2,500,000","$327,716","$593,933",2011,Super2011,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"5,744",2011-04-01,Insidious,"$1,500,000","$54,009,150","$99,870,886",2011,Insidious2011,Insidious2010,tt1591095,movie,Insidious,Insidious,0,2010,\N,103,"Horror,Mystery,Thriller",6.8,346245,nm1490123,nm1191481,James Wan,1977,\N,"producer,writer,director","tt0387564,tt3065204,tt2820852,tt1591095",Insidious2010
"6,175",2011-04-01,Rubber,"$500,000","$100,370","$680,914",2011,Rubber2011,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
109,2015-04-01,Furious 7,"$190,000,000.00","$353,007,020.00","$1,511,986,364.00",2015,Furious 72015,Furious 72015,tt2820852,movie,Furious 7,Fast & Furious 7,0,2015,\N,137,"Action,Crime,Thriller",7.1,420506,nm1490123,"nm0604555,nm0860155",James Wan,1977,\N,"producer,writer,director","tt0387564,tt3065204,tt2820852,tt1591095",Furious 72015
"3,921",2015-04-01,Woman in Gold,"$11,000,000","$33,307,793","$58,586,407",2015,Woman in Gold2015,Woman in Gold2015,tt2404425,movie,Woman in Gold,Woman in Gold,0,2015,\N,109,"Biography,Drama,History",7.3,64172,nm0193508,"nm0443252,nm2739175,nm2721839",Simon Curtis,1960,\N,"producer,director","tt1653665,tt1655420,tt2404425,tt0840094",Woman in Gold2015
