budget,domestic_revenue,world_revenue,year,runtimeMinutes,averageRating,numVotes
14000000.0,40713082.0,49231674.0,2019,90.0,4.9,280
14000000.0,40713082.0,49231674.0,2019,116.0,6.3,11235
14000000.0,12138565.0,57926850.0,2019,105.0,5.3,68609
2500000.0,255599.0,306217.0,2019,136.0,6.0,8355
340000.0,0.0,379.0,1957,96.0,9.0,890263
11000000.0,20388920.0,20388920.0,1978,145.0,6.4,8895
2600000.0,32980880.0,32981717.0,1984,91.0,6.0,61395
13000000.0,7881335.0,7884087.0,1994,95.0,6.8,35369
25000000.0,71500556.0,272595053.0,2001,97.0,6.8,268478
30000000.0,0.0,2717302.0,2007,118.0,7.1,12303
20000000.0,80818974.0,118537627.0,2007,105.0,6.8,261201
15500000.0,1237615.0,1237615.0,2007,90.0,4.9,575
750000.0,5520368.0,5520368.0,2007,106.0,7.2,7
20000000.0,0.0,22139590.0,2010,106.0,7.2,7
30000000.0,44338224.0,54052249.0,2012,106.0,7.2,7
30000000.0,42073277.0,70683134.0,2012,95.0,7.0,461964
20000000.0,14326865.0,33943049.0,2012,106.0,7.2,7
5000000.0,204157.0,204157.0,2012,118.0,6.5,4555
1200000.0,595018.0,595018.0,2012,108.0,5.8,3057
930000.0,30905.0,30905.0,2012,106.0,7.2,7
650000.0,1129408.0,6477294.0,2017,89.0,6.8,28018
25000000.0,3054285.0,3823620.0,2018,84.0,6.9,2639
4000000.0,21096678.0,21799053.0,2022,124.0,6.5,32365
41000000.0,3496761.0,7777708.0,2023,101.0,5.4,11764
43000000.0,37035515.0,62063972.0,2000,103.0,6.1,55277
29000000.0,37036404.0,45336404.0,2000,128.0,6.4,53539
8000000.0,15070285.0,34270285.0,2000,102.0,7.6,747007
3000000.0,4170647.0,30438635.0,2000,106.0,7.2,7
80000000.0,37384046.0,99010667.0,2006,82.0,5.2,28111
40000000.0,90710620.0,178710620.0,2006,83.0,5.1,131291
950000.0,1024640.0,8267066.0,2006,104.0,7.0,170119
18000000.0,0.0,309608.0,2016,92.0,5.4,16342
35000000.0,8176562.0,11174650.0,2023,179.0,6.7,66092
7000000.0,90463574.0,201463574.0,1983,95.0,6.2,60708
5000000.0,12232628.0,12232628.0,1983,107.0,6.3,14427
375000.0,2400000.0,29400000.0,1983,85.0,7.4,238232
2000000.0,72544.0,72544.0,1998,106.0,7.2,7
18500000.0,65233369.0,109175673.0,2005,90.0,5.9,119064
2000000.0,388532.0,466106.0,2005,97.0,6.8,9924
2000000.0,120620.0,2226603.0,2005,90.0,7.2,20829
3000000.0,0.0,895932.0,2008,106.0,7.2,7
40000000.0,38180928.0,95989590.0,2011,111.0,6.2,175524
30000000.0,26692846.0,50145607.0,2011,106.0,7.2,7
25000000.0,11538204.0,15907411.0,2011,122.0,6.9,30234
20000000.0,54030051.0,54404202.0,2016,111.0,5.9,16356
20000000.0,8813410.0,14365639.0,2016,106.0,7.2,7
5000000.0,3220371.0,3807503.0,2016,95.0,7.0,143135
6300000.0,0.0,15607881.0,2022,128.0,6.6,37889
35000000.0,4496583.0,4496583.0,1993,106.0,7.2,7
75000000.0,64062587.0,73521587.0,1999,108.0,6.8,56105
52000000.0,23010607.0,26922492.0,2003,104.0,5.5,52584
9000000.0,6126237.0,12657377.0,2003,80.0,4.8,4499
6000000.0,17583468.0,18504539.0,2003,91.0,7.2,29832
55000000.0,66207920.0,153535982.0,2004,137.0,8.0,821692
33000000.0,33664370.0,54533774.0,2004,124.0,6.4,173056
20000000.0,8047525.0,9649039.0,2004,98.0,6.3,8735
28000000.0,48071303.0,97531134.0,2010,117.0,7.6,601660
21000000.0,42739347.0,48977233.0,2010,92.0,5.7,54428
12500000.0,1089445.0,3931367.0,2010,118.0,6.9,4287
10000000.0,1475746.0,3541565.0,2010,117.0,7.2,102
8300000.0,493296.0,1353296.0,2010,117.0,6.3,3277
3500000.0,6391436.0,40527719.0,2010,106.0,7.2,7
40000000.0,0.0,27000219.0,2013,106.0,7.2,7
200000000.0,203530343.0,709672746.0,2014,142.0,6.6,550360
12000000.0,91386097.0,100913556.0,2014,99.0,5.8,28964
30000000.0,42629776.0,68984536.0,2015,112.0,7.2,211923
15000000.0,29145924.0,29145924.0,1998,111.0,6.0,21801
30000000.0,0.0,1692644.0,2003,110.0,6.6,19815
60000000.0,37017955.0,88832210.0,2009,127.0,7.1,162463
40000000.0,64167069.0,139474906.0,2009,102.0,6.4,220275
20000000.0,13684249.0,35472739.0,2009,106.0,7.2,7
2500000.0,80136.0,108907.0,2009,90.0,6.0,6722
9000000.0,0.0,15660664.0,2013,95.0,6.1,3450
500000.0,152449.0,152449.0,2013,106.0,7.2,7
1500000.0,0.0,5396.0,2014,112.0,6.7,4368
50000000.0,1224330.0,8004221.0,2015,137.0,6.4,76696
1000000.0,32789645.0,64364198.0,2015,83.0,5.6,83196
150000.0,7193.0,7193.0,2015,72.0,6.8,193
9000000.0,54733739.0,123133739.0,2019,93.0,5.3,59476
28000000.0,25867515.0,42645515.0,2024,87.0,7.5,23
28000000.0,25867515.0,42645515.0,2024,106.0,5.2,212
25000000.0,15502112.0,23506237.0,1986,106.0,7.2,7
42000000.0,4408420.0,4408420.0,1997,108.0,4.5,7191
3000000.0,3602884.0,4002884.0,1997,95.0,5.4,11270
60000000.0,90580000.0,165890634.0,2002,92.0,5.5,147179
28000000.0,11689053.0,39134983.0,2003,106.0,7.2,7
20000000.0,67383924.0,71232214.0,2003,117.0,7.0,102878
15000000.0,34308901.0,34499204.0,2003,86.0,5.2,21201
4500000.0,181655.0,4548505.0,2003,106.0,7.2,7
55000000.0,52075270.0,129059885.0,2008,104.0,6.5,110490
30000000.0,63172463.0,105475310.0,2008,111.0,7.1,306337
